StringTable,Key,ko-KR,en,zh_Hant,zh_Hans,Japan
Eggs,egg_blue,파란알,Blue Egg,藍蛋,蓝蛋,青いたまご
Eggs,egg_white,하얀알,White Egg,白蛋,白蛋,白いたまご
Eggs,egg_black,검은알,Black Egg,黑蛋,黑蛋,黒いたまご
Eggs,egg_red,빨간알,Red Egg,紅蛋,红蛋,赤いたまご
Eggs,egg_yellow,노란알,Yellow Egg,黃蛋,黄蛋,黄色いたまご
EvolvedForm,evolution_Worker,직장인,Office Worker,上班族,上班族,会社員
EvolvedForm,evolution_Worker_Speech,나는야 직장인!,I am an Office Worker!,我是上班族！,我是上班族！,私は会社員だ！
EvolvedForm,evolution_Chef,요리사,Chef,廚師,厨师,シェフ
EvolvedForm,evolution_Chef_Speech,나는야 요리사!,I am a Chef!,我是廚師！,我是厨师！,私はシェフだ！
EvolvedForm,evolution_Artist,화가,Artist,畫家,画家,画家
EvolvedForm,evolution_Artist_Speech,나는야 화가!,I am an Artist!,我是畫家！,我是画家！,私は画家だ！
EvolvedForm,evolution_Blacksmith,대장장이,Blacksmith,鐵匠,铁匠,鍛冶屋
EvolvedForm,evolution_Blacksmith_Speech,나는 대장장이란다!,I am a Blacksmith!,我是鐵匠！,我是铁匠！,私は鍛冶屋だ！
EvolvedForm,evolution_Farmer,농부,Farmer,農夫,农夫,農夫
EvolvedForm,evolution_Farmer_Speech,농부다 농부 농부,Farmer farmer farmer,農夫農夫農夫,农夫农夫农夫,農夫だ農夫農夫
EvolvedForm,evolution_Fire,불의 정령,Fire Spirit,火之精靈,火之精灵,火の精霊
EvolvedForm,evolution_Fire_Speech,나는 불의 정령이야!,I am a Fire Spirit!,我是火之精靈！,我是火之精灵！,私は火の精霊だ！
EvolvedForm,evolution_Bird,새,Bird,鳥,鸟,鳥
EvolvedForm,evolution_Bird_Speech,나는 새야~!,I am a bird~!,我是鳥~！,我是鸟~！,私は鳥だ~！
EvolvedForm,evolution_Snake,뱀,Snake,蛇,蛇,蛇
EvolvedForm,evolution_Snake_Speech,나는 뱀이다아~,I am a snake~,我是蛇啊~,我是蛇啊~,私は蛇だ~
EvolvedForm,evolution_Goat,염소,Goat,山羊,山羊,ヤギ
EvolvedForm,evolution_Goat_Speech,음메에에에에,Maaaaaaa,咩咩咩咩咩,咩咩咩咩咩,メェェェェェ
EvolvedForm,evolution_WhiteCat,하얀 고양이,White Cat,白貓,白猫,白い猫
EvolvedForm,evolution_WhiteCat_Speech,나는 하얀 고양이~,I am a White Cat~,我是白貓~,我是白猫~,私は白い猫だ~
EvolvedForm,evolution_Ghost,유령,Ghost,幽靈,幽灵,幽霊
EvolvedForm,evolution_Ghost_Speech,나는 유령!,I am a Ghost!,我是幽靈！,我是幽灵！,私は幽霊だ！
EvolvedForm,evolution_NineTailed,구미호,Nine-Tailed Fox,九尾狐,九尾狐,九尾の狐
EvolvedForm,evolution_NineTailed _Speech,나는 구미호다!,I am a Nine-Tailed Fox!,我是九尾狐！,我是九尾狐！,私は九尾の狐だ！
EvolvedForm,evolution_BlackCat,검은 고양이,Black Cat,黑貓,黑猫,黒い猫
EvolvedForm,evolution_BlackCat_Speech,나는 검은 고양이,I am a Black Cat,我是黑貓,我是黑猫,私は黒い猫だ
EvolvedForm,evolution_Wolf,늑대,Wolf,狼,狼,オオカミ
EvolvedForm,evolution_Wolf_Speech,나는야 늑대,I am a Wolf,我是狼,我是狼,私はオオカミだ
EvolvedForm,evolution_Devil,악마,Devil,惡魔,恶魔,悪魔
EvolvedForm,evolution_Devil_Speech,나는 악마다!,I am a Devil!,我是惡魔！,我是恶魔！,私は悪魔だ！
EvolvedForm,evolution_Hamster,햄스터,Hamster,倉鼠,仓鼠,ハムスター
EvolvedForm,evolution_Hamster_Speech,나는 햄스터!,I am a Hamster!,我是倉鼠！,我是仓鼠！,私はハムスターだ！
EvolvedForm,evolution_Rabbit,토끼,Rabbit,兔子,兔子,ウサギ
EvolvedForm,evolution_Rabbit_Speech,나는 토끼,I am a Rabbit,我是兔子,我是兔子,私はウサギだ
EvolvedForm,evolution_Chick,병아리,Chick,小雞,小鸡,ヒヨコ
EvolvedForm,evolution_Chick_Speech,나는 병아리,I am a Chick,我是小雞,我是小鸡,私はヒヨコだ
GrowthActions,action_feed,밥 주기,Feed,餵食,喂食,エサをあげる
GrowthActions,action_feed_bubble01,냠냠! 맛있어요~,Yum yum! Delicious~,好吃！美味~,好吃！美味~,もぐもぐ！おいしい~
GrowthActions,action_feed_bubble02,우와~밥이다!,Wow~ It's food!,哇~是飯！,哇~是饭！,わあ~ごはんだ！
GrowthActions,action_feed_bubble03,항상 배고픈 것 같아요!,I always seem to be hungry!,好像一直都很餓！,好像一直都很饿！,いつもお腹すいてる気がする！
GrowthActions,action_sleep,재우기,Put to Sleep,睡眠,睡眠,寝かせる
GrowthActions,action_sleep_bubble01,따뜻해... 포근해요... zzZ,Warm... So cozy... zzZ,溫暖...好舒服...zzZ,温暖...好舒服...zzZ,あったかい...気持ちいい...zzZ
GrowthActions,action_sleep_bubble02,zzZ,zzZ,zzZ,zzZ,zzZ
GrowthActions,action_sleep_bubble03,드르렁...드르렁...,Snore... Snore...,呼嚕...呼嚕...,呼噜...呼噜...,グーグー...
GrowthActions,action_walk,산책하기,Take a Walk,散步,散步,散歩する
GrowthActions,action_walk_bubble01,바람이 기분 좋아요~♪,The breeze feels nice~♪,風很舒服~♪,风很舒服~♪,風が気持ちいい~♪
GrowthActions,action_walk_bubble02,산책 좋아하세요?,Do you like walks?,喜歡散步嗎？,喜欢散步吗？,散歩好きですか？
GrowthActions,action_walk_bubble03,꽃밭의 향기가 너무 좋아요!,The flower garden smells so nice!,花園的香味真好！,花园的香味真好！,花畑の香りがすごくいい！
GrowthActions,action_read,책 읽기,Read a Book,讀書,读书,本を読む
GrowthActions,action_read_bubble01,다음 이야기가 궁금해요!,I wonder what happens next!,好奇下個故事！,好奇下个故事！,次のお話が気になります！
GrowthActions,action_read_bubble02,흥미 진진하네요!,How exciting!,好有趣！,好有趣！,わくわくします！
GrowthActions,action_read_bubble03,주인공은 행복할까요?,Will the protagonist be happy?,主角會幸福嗎？,主角会幸福吗？,主人公は幸せになるかな？
GrowthActions,action_play,놀아주기,Play,陪玩,陪玩,遊ぶ
GrowthActions,action_play_bubble01,신나요! 더 놀아요! 야호!,So fun! Let's play more! Yay!,好開心！再玩！萬歲！,好开心！再玩！万岁！,楽しい！もっと遊ぼう！わーい！
GrowthActions,action_play_bubble02,야호~오예~,Yay~ Oh yeah~,萬歲~耶~,万岁~耶~,わーい~イェーイ~
GrowthActions,action_play_bubble03,매일 놀고 싶어요!,I want to play every day!,每天都想玩！,每天都想玩！,毎日遊びたい！
GrowthActions,action_pat,쓰다듬기,Pat,撫摸,抚摸,なでる
GrowthActions,action_pat_bubble01,기분 좋아요... 편안해...,Feels good... So comfortable...,好舒服...安心...,好舒服...安心...,気持ちいい...安心...
GrowthActions,action_pat_bubble02,따뜻한 손길~,Warm touch~,溫暖的撫摸~,温暖的抚摸~,あったかいなでなで~
GrowthActions,action_pat_bubble03,헤헤...,Hehe...,嘿嘿...,嘿嘿...,へへ...
GrowthActions,action_sing,노래하기,Sing,唱歌,唱歌,歌う
GrowthActions,action_sing_bubble01,랄라~ 이 노래 좋아요~♬,Lalala~ I love this song~♬,啦啦~喜歡這首歌~♬,啦啦~喜欢这首歌~♬,ラララ~この歌好き~♬
GrowthActions,action_sing_bubble02,룰루~랄라~가수 같죠?,"Lulu~Lalala~Like a singer, right?",嚕嚕~啦啦~像歌手吧？,噜噜~啦啦~像歌手吧？,ルル~ラララ~歌手みたいでしょ？
